Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,19.350000,19.580000,19.309999,19.379999,19.229614,46800
2019-11-15,19.530001,19.530001,19.090000,19.110001,18.961710,48700
2019-11-18,19.010000,19.250000,18.719999,19.020000,18.872412,46100
2019-11-19,19.090000,19.200001,18.930000,19.020000,18.872412,47700
2019-11-20,19.000000,19.000000,18.580000,18.639999,18.495358,55700
2019-11-21,18.600000,18.600000,18.160000,18.250000,18.108383,102100
2019-11-22,18.389999,18.600000,18.280001,18.540001,18.396135,34300
2019-11-25,18.459999,18.940001,18.459999,18.830000,18.683882,30300
2019-11-26,18.850000,19.200001,18.750000,18.959999,18.812874,39500
2019-11-27,19.070000,19.100000,18.500000,18.580000,18.435823,25300
2019-11-29,18.570000,18.700001,18.400000,18.400000,18.257219,11000
2019-12-02,18.440001,18.719999,18.080000,18.330000,18.187763,31500
2019-12-03,18.200001,18.760000,18.110001,18.660000,18.515203,40400
2019-12-04,18.660000,18.850000,18.480000,18.580000,18.435823,27000
2019-12-05,18.580000,18.639999,17.750000,18.190001,18.048851,35200
2019-12-06,18.290001,18.700001,17.889999,18.530001,18.386213,33300
2019-12-09,18.450001,18.459999,17.959999,18.030001,17.919102,48400
2019-12-10,18.030001,18.110001,17.870001,17.940001,17.829657,14600
2019-12-11,18.030001,18.170000,17.580000,18.080000,17.968794,32300
2019-12-12,18.059999,18.490000,17.850000,18.250000,18.137749,42300
2019-12-13,18.250000,18.389999,17.860001,18.059999,17.948917,41000
2019-12-16,18.190001,18.469999,18.020000,18.450001,18.336519,30100
2019-12-17,18.360001,20.910000,18.360001,19.430000,19.310490,103300
2019-12-18,19.580000,20.209999,19.230000,20.030001,19.906801,64800
2019-12-19,19.900000,19.900000,19.280001,19.600000,19.479445,39200
2019-12-20,19.600000,19.930000,19.379999,19.889999,19.767662,62600
2019-12-23,19.969999,20.500000,19.660000,20.430000,20.304340,41800
2019-12-24,20.430000,20.490000,19.799999,20.160000,20.036003,25300
2019-12-26,20.190001,20.400000,19.990000,20.040001,19.916740,28900
2019-12-27,19.969999,20.120001,19.530001,20.030001,19.906801,36900
2019-12-30,20.000000,20.340000,19.730000,20.320000,20.195019,44800
2019-12-31,20.379999,20.650000,19.980000,20.500000,20.373911,55400
2020-01-02,20.530001,20.650000,20.209999,20.440001,20.314278,27400
2020-01-03,20.160000,20.459999,20.080000,20.260000,20.135386,22800
2020-01-06,20.250000,20.250000,19.840000,20.030001,19.906801,19500
2020-01-07,19.930000,20.040001,19.520000,19.590000,19.469505,18200
